Título,Descripción,Duración,Enlace
Pet Obsessed,"Con clips ridículos, cortos digitales y toneladas de pelusa; estas son las mascotas más escandalosas y francas de Internet... Tu nueva obsesión.",4 Temporadas Disponibles,https://pluto.tv/on-demand/series/645ab1ce5348f4001a21019c/episode/645ab1d15348f4001a2110b0
Yo amo a Shakey,"JT O’Neil, con su hija de 10 años, y su devoto perro Shakey se mudan a una pequeña ciudad de Chicago y al no leer la letra pequeña de su contrato de alquiler, JT se ve obligado a tratar de deshacerse de su perro.",1hr 42 min,https://pluto.tv/on-demand/movies/5f3fd896ad190c001a52e6da
Shelby,"Shelby es un perro sin dueño que tiene por costumbre fugarse de la perrera cada vez que tiene la oportunidad. Durante una de sus escapadas conoce a Jake, un niño que sueña con ser un gran mago, y se hacen amigos inseparables.",1hr 32 min,https://pluto.tv/on-demand/movies/5fad4a7f8b78ef001aa27bcd
Chiguagua: el fantasma,"Al heredar una antigua casa de vacaciones, los Fastener se dan cuenta que la perra de sus antepasados, Sophie los persigue. Homer, su golden retriever, se hace amigo de Sophie y descubre que ella solo está buscando una familia a la que amar",1hr 22 min,https://pluto.tv/on-demand/movies/62bcab10e9e8c00013709d5a
Max salva al Mundo,Sean y su perro Max quieren ser detectives pero en su vecindario no sucede nada hasta que desaparece un diamante. Ahora tendrán que enfrentarse a un grupo de alienígenas que vienen al planeta con planes de quemar la Tierra.,1hr 28 min,https://pluto.tv/on-demand/movies/60c8abd436537d0013320af4
"Benny , El Feo","Es la historia de un perro sin buena apariencia, sus dueños no tenian idea de que hacer con el cachorro extraño. Pero su ternura logro que una familia lo adoptara y desde ese momento la vida de Benny ha cambiado totalmente.",1hr 39 min,https://pluto.tv/on-demand/movies/62bf09238672a30013bd7ef8
Un amor hasta las patas,"Su amiga Roxana decide conseguirle una cita a través de las redes sociales. El desastre de la cita la lleva a pedirle un deseo a un mágico ""gato de los deseos"": tener un novio tan tierno y comprensible como sus 2 adorables perros.",1hr 26 min,https://pluto.tv/on-demand/movies/603e6222049634001a5f3418
Mi Angel Guardián,"Cooper, un perro, es el único sobreviviente de un terrible accidente automovilístico. Jake pierde a su esposa e hijos en el accidente. Jake es de enojo hacia el perro, pero este vinculo termina siendo lo unico que lo ayuda a seguir viviendo.",1hr 25 min,https://pluto.tv/on-demand/movies/60c8abc136537d0013320966
Amor por el Perro,"Cuando una madre divorciada intenta iniciar una nueva relación, sus hijos y su perro comienzan a sabotear el romance. Tienen éxito, hasta que aparece un ex novio de la escuela.",1hr 21 min,https://pluto.tv/on-demand/movies/5fda4095aabcdd001aaf4430
"¿EI, Dónde está mi Perro?","Un joven llamado Ray se queda en casa para cuidar al perro de la familia, Harry, para demostrarles a sus padres que no es, como dicen, ""irresponsable"".",1hr 22 min,https://pluto.tv/on-demand/movies/5fda414b0dddaf0013b83734
El refugio,"La familia Davis es un desastre, pero un perro callejero logrará en poco tiempo restaurar su matrimonio, arreglar una relación padre-hijo deteriorada, alegrar la vida de un niño de 9 años y salvar a un niño muy pequeño.",1hr 24 min,https://pluto.tv/on-demand/movies/62ffebd0c24630001a8b226c
Un equipo incomparable,"Seeker, un perro que no puede oler, y Fetch, un cerdo casi ciego ayudan a mascotas perdidas a encontrar sus hogares.",1hr 20 min,https://pluto.tv/on-demand/movies/62fe9e866df8ae001a0464ae
